Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
1,1,AlphaBeta,58.53009223937988,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
1,2,AlphaBeta,2.997159957885742,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
1,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
1,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
1,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
2,1,AlphaBeta,57.77740478515625,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
2,2,AlphaBeta,4.1866302490234375,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
2,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
2,4,AlphaBeta,1.0082721710205078,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
2,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
3,1,AlphaBeta,58.91728401184082,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
3,2,AlphaBeta,3.520965576171875,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
3,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
3,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
3,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
4,1,AlphaBeta,58.49719047546387,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
4,2,AlphaBeta,3.5257339477539062,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
4,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
4,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
4,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
5,1,AlphaBeta,58.7155818939209,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
5,2,AlphaBeta,3.998279571533203,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
5,3,AlphaBeta,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
5,4,AlphaBeta,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
5,5,AlphaBeta,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
6,1,AlphaBeta,60.362815856933594,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
