Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
1,1,MCTS,172.84822463989258,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
1,2,MCTS,91.61019325256348,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
1,3,MCTS,53.30395698547363,"(0, 1)","[[0 2 2]
 [0 1 1]
 [1 0 2]]"
2,1,MCTS,166.34178161621094,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
2,2,MCTS,86.37571334838867,"(2, 2)","[[1 0 2]
 [0 1 0]
 [0 0 2]]"
2,3,MCTS,70.7097053527832,"(2, 1)","[[1 0 2]
 [0 1 1]
 [0 2 2]]"
3,1,MCTS,175.89235305786133,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
3,2,MCTS,87.31770515441895,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
3,3,MCTS,52.477359771728516,"(1, 2)","[[2 1 2]
 [0 1 2]
 [1 0 0]]"
4,1,MCTS,169.22807693481445,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
4,2,MCTS,93.22047233581543,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
4,3,MCTS,52.83498764038086,"(0, 1)","[[0 2 2]
 [0 1 1]
 [1 0 2]]"
5,1,MCTS,172.03474044799805,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
5,2,MCTS,87.75925636291504,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
5,3,MCTS,52.495718002319336,"(1, 0)","[[2 1 2]
 [2 1 0]
 [0 0 1]]"
6,1,MCTS,195.17898559570312,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
6,2,MCTS,88.73605728149414,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
6,3,MCTS,52.306413650512695,"(0, 1)","[[0 2 2]
 [0 1 1]
 [1 0 2]]"
7,1,MCTS,169.5079803466797,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
7,2,MCTS,87.45360374450684,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
7,3,MCTS,54.08906936645508,"(0, 1)","[[2 2 0]
 [1 1 0]
 [2 0 1]]"
8,1,MCTS,173.1414794921875,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
8,2,MCTS,86.06863021850586,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
8,3,MCTS,53.54785919189453,"(0, 1)","[[2 2 0]
 [1 1 0]
 [2 0 1]]"
9,1,MCTS,169.11745071411133,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
9,2,MCTS,87.93187141418457,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
9,3,MCTS,52.20770835876465,"(0, 1)","[[0 2 2]
 [0 1 1]
 [1 0 2]]"
10,1,MCTS,172.3775863647461,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
10,2,MCTS,87.43453025817871,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
10,3,MCTS,51.035404205322266,"(1, 0)","[[2 1 2]
 [2 1 0]
 [0 0 1]]"
11,1,MCTS,166.65339469909668,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
11,2,MCTS,89.46585655212402,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
