Play,Time per move,Move played,Board state
1,398.4653949737549,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
1,6.667137145996094,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
1,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
1,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
1,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
2,394.4094181060791,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
2,7.023811340332031,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
2,1.5044212341308594,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
2,1.024007797241211,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
2,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
3,396.55470848083496,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
3,6.532192230224609,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
3,1.0671615600585938,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
3,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
3,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
4,397.2949981689453,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
4,6.511688232421875,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
4,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
4,0.9860992431640625,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
4,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
5,398.73719215393066,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
5,6.536960601806641,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
5,0.9915828704833984,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
5,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
5,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
6,399.2726802825928,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
6,6.534576416015625,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
6,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
6,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
6,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
7,400.9554386138916,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
7,6.543874740600586,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
7,1.0080337524414062,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
7,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
7,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
8,399.5075225830078,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
8,6.546497344970703,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
8,0.0,"(2, 1)","[[2 1 2]
 [0 1 0]
 [1 2 0]]"
8,0.0,"(1, 2)","[[2 1 2]
 [1 1 2]
 [1 2 0]]"
8,0.0,,"[[2 1 2]
 [1 1 2]
 [1 2 1]]"
