Play,Move No.,Selected Algorithm,Time per move,Move played,Board state
1,1,Minimax,416.3968563079834,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
2,1,Minimax,407.20176696777344,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
3,1,Minimax,409.0452194213867,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
4,1,Minimax,414.8540496826172,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
5,1,Minimax,421.238899230957,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
6,1,Minimax,418.1408882141113,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
7,1,Minimax,407.46259689331055,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
8,1,Minimax,400.6931781768799,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
9,1,Minimax,421.8883514404297,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
10,1,Minimax,420.3324317932129,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
11,1,Minimax,420.8140373229981,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
12,1,Minimax,420.8140373229981,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
13,1,Minimax,422.039270401001,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
14,1,Minimax,402.8894901275635,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
15,1,Minimax,412.1255874633789,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
16,1,Minimax,419.9841022491455,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
17,1,Minimax,421.7257499694824,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
18,1,Minimax,415.3962135314941,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
19,1,Minimax,419.785737991333,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
20,1,Minimax,412.0626449584961,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
1,1,AlphaBeta,58.53009223937988,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
2,1,AlphaBeta,57.77740478515625,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
3,1,AlphaBeta,58.91728401184082,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
4,1,AlphaBeta,58.49719047546387,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
5,1,AlphaBeta,58.7155818939209,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
6,1,AlphaBeta,60.3628158569336,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
7,1,AlphaBeta,58.74967575073242,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
8,1,AlphaBeta,60.03522872924805,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
9,1,AlphaBeta,59.342145919799805,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
10,1,AlphaBeta,57.74879455566406,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
11,1,AlphaBeta,60.05406379699707,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
12,1,AlphaBeta,60.19949913024902,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
13,1,AlphaBeta,59.56363677978516,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
14,1,AlphaBeta,61.56206130981445,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
15,1,AlphaBeta,60.85848808288574,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
16,1,AlphaBeta,62.60824203491211,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
17,1,AlphaBeta,59.19218063354492,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
18,1,AlphaBeta,59.54694747924805,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
19,1,AlphaBeta,59.25583839416504,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
20,1,AlphaBeta,59.76080894470215,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
1,1,MCTS,172.84822463989258,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
2,1,MCTS,166.34178161621094,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
3,1,MCTS,175.89235305786133,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
4,1,MCTS,169.22807693481445,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
5,1,MCTS,172.03474044799805,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
6,1,MCTS,195.17898559570312,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
7,1,MCTS,169.5079803466797,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
8,1,MCTS,173.1414794921875,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
9,1,MCTS,169.11745071411133,"(2, 2)","[[0 0 0]
 [0 1 0]
 [0 0 2]]"
10,1,MCTS,172.3775863647461,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
11,1,MCTS,166.65339469909668,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
12,1,MCTS,202.96120643615723,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
13,1,MCTS,169.4204807281494,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
14,1,MCTS,181.2891960144043,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
15,1,MCTS,178.21168899536133,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
16,1,MCTS,194.5297718048096,"(2, 0)","[[0 0 0]
 [0 1 0]
 [2 0 0]]"
17,1,MCTS,167.71769523620603,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
18,1,MCTS,193.60923767089844,"(0, 0)","[[2 0 0]
 [0 1 0]
 [0 0 0]]"
19,1,MCTS,174.07894134521484,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
20,1,MCTS,172.17731475830078,"(0, 2)","[[0 0 2]
 [0 1 0]
 [0 0 0]]"
1,2,Minimax,7.003307342529297,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
2,2,Minimax,6.635665893554688,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
3,2,Minimax,6.696462631225586,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
4,2,Minimax,7.007360458374023,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
5,2,Minimax,7.07554817199707,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
6,2,Minimax,6.996631622314453,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
7,2,Minimax,6.5517425537109375,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
8,2,Minimax,8.05354118347168,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
9,2,Minimax,7.558345794677734,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
10,2,Minimax,7.00831413269043,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
11,2,Minimax,7.005453109741211,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
12,2,Minimax,7.106304168701172,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
13,2,Minimax,6.359338760375977,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
14,2,Minimax,6.572723388671875,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
15,2,Minimax,7.51495361328125,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
16,2,Minimax,6.545066833496094,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
17,2,Minimax,7.00831413269043,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
18,2,Minimax,7.013559341430664,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
19,2,Minimax,7.013082504272461,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
20,2,Minimax,6.992816925048828,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
1,2,AlphaBeta,2.997159957885742,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
2,2,AlphaBeta,4.1866302490234375,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
3,2,AlphaBeta,3.520965576171875,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
4,2,AlphaBeta,3.5257339477539062,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
5,2,AlphaBeta,3.998279571533203,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
6,2,AlphaBeta,3.5343170166015625,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
7,2,AlphaBeta,4.004001617431641,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
8,2,AlphaBeta,4.507780075073242,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
9,2,AlphaBeta,3.530263900756836,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
10,2,AlphaBeta,3.6923885345458975,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
11,2,AlphaBeta,4.007577896118164,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
12,2,AlphaBeta,4.002094268798828,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
13,2,AlphaBeta,4.510164260864258,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
14,2,AlphaBeta,3.9463043212890634,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
15,2,AlphaBeta,4.504203796386719,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
16,2,AlphaBeta,3.990650177001953,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
17,2,AlphaBeta,4.595756530761719,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
18,2,AlphaBeta,4.545450210571289,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
19,2,AlphaBeta,4.014015197753906,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
20,2,AlphaBeta,3.5245418548583984,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
1,2,MCTS,91.61019325256348,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
2,2,MCTS,86.37571334838867,"(2, 2)","[[1 0 2]
 [0 1 0]
 [0 0 2]]"
3,2,MCTS,87.31770515441895,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
4,2,MCTS,93.22047233581544,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
5,2,MCTS,87.75925636291504,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
6,2,MCTS,88.73605728149414,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
7,2,MCTS,87.45360374450684,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
8,2,MCTS,86.06863021850586,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
9,2,MCTS,87.93187141418457,"(0, 2)","[[0 0 2]
 [0 1 0]
 [1 0 2]]"
10,2,MCTS,87.43453025817871,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
11,2,MCTS,89.46585655212402,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
12,2,MCTS,90.81149101257324,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
13,2,MCTS,86.12656593322754,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
14,2,MCTS,90.03567695617676,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
15,2,MCTS,88.05465698242188,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
16,2,MCTS,85.79826354980469,"(0, 0)","[[2 0 0]
 [0 1 0]
 [2 0 1]]"
17,2,MCTS,89.29777145385742,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
18,2,MCTS,88.39583396911621,"(0, 2)","[[2 0 2]
 [0 1 0]
 [1 0 0]]"
19,2,MCTS,87.76140213012695,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
20,2,MCTS,88.53268623352051,"(0, 0)","[[2 0 2]
 [0 1 0]
 [0 0 1]]"
